,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
Solar Optics-Based Active Panels (Soap) For Greywater Reuse And Integrated Thermal (Grit) Building Control,Pollution and Waste,"University of California, Berkeley (UC Berkeley)","November 25, 2015","November 25, 2015",proposal,,"1) Integrated solar disinfection and thermal regulation


2) Decentralized greywater treatment

 

3) Faster water flow eliminates the need for large piping

 

4) Selective control of the optical system applicable to all geometries

 

5) Thin and lightweight

 

6) Applicable to flexible building substrates      ",,"Pollution & Waste > Water
Energy > Solar",,
Solar Optimization Panels,Energy,East Africa Climate Innovation Network (EACIN),"November 27, 2013","June 10, 2014",proposal,Electricity,It is easy to detect cracks on solar panels,Device or equipment,Energy > Solar,Under R & D,
Solar Oven Plans,Energy,STC UNM,"December 07, 2015","December 07, 2015",proposal,,"This solar oven is skillfully designed, easily assembled, and remarkably effective.",,Energy > Solar,,
Solar Photovoltaic Cells based on Silicon Membranes with Periodic Holes,Energy,Massachusetts Institute of Technology (MIT),"November 22, 2013","December 21, 2015",proposal,,"1) The same ultimate efficiency with twelve times less silicon by mass


2) Great potential for efficient solar photovoltaics",,Energy > Solar,,
Solar Power Plant in Kenya,Energy,UNOSSC,"July 31, 2014","July 31, 2014",proposal,,n/a,,Energy > Solar,,
Solar Power Tower with Direct Absorption of Solar Radiation in a Salt Bath with Nanoparticles,Energy,Massachusetts Institute of Technology- Technology Licensing Office,"April 25, 2012","April 25, 2012",proposal,"Land, Other","Increase of 30-40% in efficiency over current technologies, low capital costs, higher efficiency",Design,Energy > Solar,At usable level,
Solar Reactor for the Thermochemical Dissociation of Solid-Oxides and Creation of Solar Fuels,Energy,University of Delaware,"November 17, 2013","December 21, 2015",proposal,,"1) Only requires solar energy as a heat source.Innovative geometry and reactant feed  mechanism.


2) Novel  gas-delivery mechanisms to sweep out product gases and prevent fouling of the  quartz window.",,Energy > Solar,,
Solar Receiver Design for Thermoelectric Power Generation and Waste Heat Utilization,Energy,Stanford University,"December 23, 2015","December 23, 2015",proposal,,"1) Affordable 


2) Compact 


3) Clean energy 


4) High utility in developing nations - can benefit majority of residents in 50 poorest nations who lack electricity and refrigeration


5) Higher efficiency than PV solar panels - unlike PV, this energy conversion efficiency does not degrade with increasing temperature and can use the entire spectrum of solar energy, even when cloudy",,"Energy > Solar
Energy > Waste heat recovery",,
Solar Reflection Panels,Energy,Federal Laboratory Consortium for Technology Transfer,"October 28, 2017","November 16, 2017",proposal,,"Low cost materials used to construct the solar collector
-Advanced, low cost manufacturing processes
-Durable to environmental stresses
-Optical properties are maintained over many years due to durability
-Greater Power
-Greater Efficiency",,Energy > Solar,At usable level,n/a
Solar Trap,Farming and Forestry,Techniker company,"August 09, 2016","August 09, 2016",proposal,"Electricity, Water, Air, Other","1) Environmental friendly combat's method through green energy. 
2) Not/Reduce using harm pesticides. 
3) Organic/Healthy Food. 
4) Medical plants and Natural herbs (Pure , Highly Qualified). 
5) Combat the disease-carrying insects. 
6) Early discovering of fungi insult.","Device or equipment, Design, Material","Farming & Forestry > Alternative to chemical pesticides/insecticides/fertilizers
Energy > Solar",Proven record of commercial use,"Solar trap is a new way to kill and eliminate insects
organically without using harmful insecticides, and
smart detector to early discovering of fungi insult ,
with a safe, cheap and effective way."
Solar Window,Energy,Iman Hadi,"April 27, 2016","April 27, 2016",proposal,,"Using the side surfaces of buildings providing more potential than the roof
Longer life expectancy of solar cells
Longer power production
Producing more smooth curves in power production charts
Less sensitive to shading effects
Less maintenance needed
Not disturbing the architecture of the building
Up to 64% transmittance
Less structural issues concerned
Adapting to normal glazing systems 
More marketability due to lower research and development expenses
Power produced this way introduces new markets between existing markets",Device or equipment,"Energy > Solar
Energy > Energy generation (Others)
Building & Construction > Buildings",Under R & D,"A working prototype is built, industrial prototype manufacturing in progress"
Solar Window with Spectral and Photovoltaic Properties for Agricultural and Biofuel Applications,Energy,University of Arizona,"September 29, 2016","September 29, 2016",proposal,,"Advantages: Generates supplementary electricity; Fully utilizes available solar insolation; Adaptable to promote algae growth Compensates for various growing regions; Adjusts orientation to the position of the sun, time of day, and/or time of year",,Energy > Solar,,
Solar and LED Technology For Street Lighting,Energy,Ministry of Economy,"December 27, 2015","December 27, 2015",proposal,Electricity,"The products are the solution for the save energy needs of street lighting installations. In those with electrical infrastructure the LED bulb JUPITER helps to reduce 2/3 of the electrical bill. In rural areas or in those place with lack of electricity, the ORION device provides a very good quality of light, with an efficient and sustainable system.",Device or equipment,Energy > Solar,Proven record of commercial use,Proven record of commercial use
Solar based lighting systems,Energy,Ministry of Economy,"December 24, 2015","December 24, 2015",proposal,Electricity,"1. Highly modernized

2. Adaptable build-as-you-go light boxes",Device or equipment,Energy > Solar,Proven record of commercial use,Proven record of commercial use
Solar bottle bulb unit production; Biodegradable seed strips,Energy,Ethiopia Climate innovation Center,"August 30, 2016","August 30, 2016",needed,,,,"Energy > Energy storage
Energy > Biomass/Bioenergy",,
Solar dryer for crops,Green Products,QSM and Associates Ltd,"July 07, 2016","February 11, 2017",proposal,"Solid Fuel, Electricity","The dryer offers the diverse groups in a rural setting an opportunity to do value
addition of their farm products. This enables them to make a much higher income
from their produce. It offers also the opportunity to preserve the produce during
glut for use when there will be scarcity. Further more 13 of the groups assisted are
made up of only women. This makes a high impact on their family units.
There is also a ready market for dehydrated hygienic products.","Design, Process, Device or equipment",Green Products > Products that save water/energy,Proven record of commercial use,"Eighteen standard dryers have been installed in Kenya for diverse
micro-processor groups since 2011. The dryers are being used to dry African
leafy vegetables (Amaranth - terere, Cat’s whiskers - Saget, African nightshade
- Mnafu, Pumpkins - marenge), mangoes, sweet potatoes, pumpkins and both
ripe and green bananas. In 2016 two dryers have been installed for two micro-processors."
Solar electric quadracyle,Transportation,STENRICH CYCLES,"July 07, 2016","July 11, 2016",proposal,"Solid Fuel, Oil, Natural gas, Air","Solar Vehicle Basic features
Operating range  minimum 50 km per day insolation
Passengers 2 to 3
Payload 300kg
Empty weight less than 100kg
PV Power 600W  Additional 600W optional
Motor power: 750W 2WD or 1500W 4WD Optional up to 12000W
Battery Capacity 3000Wh minimum for daily energy charge
Additional 3000W for trailer
Target vehicle cost less than $1,000 in basic version
Speed 30 to 50 kph

This project involves the development of a solar vehicle for transporting people and small loads transport 2 or 3 people and small loads in rural Africa. Action radius of 50 km per day 
In addition, the vehicle includes a power generator and 3kWh storage batteries a day enough for the needs of rural communities that are off-grid and estimated 70 million families 
The product is made from existing components on the market which allows to reduce costs 
The product is offered in fashion rental / purchase reduces the acquisition cost some 5 Dh per day access for half of the African population that earns month $ 2 a day 
The product can meet the basic needs of 622 million Africans lack access to electricity today. This innovation will have a significant impact on the lives of girls and women who today represent over 70% of the work for 40 billion hours collecting water every day in Sub-Saharan Africa 
Finally the vehicle can provide electricity for home transport children to school for the doctor or the patient evacuate 
With a communication system will facilitate the education of children and provide the opportunity to earn income for families",Device or equipment,"Transportation > Electric/Hybrid vehicles
Transportation > Electric/Hybrid vehicles
Transportation > Electric/Hybrid vehicles
Transportation > Electric/Hybrid vehicles",At usable level,"The design, manufacturing and testing of prototypes of 4 solar vehicles including a city car that will be unveiled in Marrakech in November 2016.
The design, manufacture and testing of 70 vehicles to Kenya with funding from EA EEP (216 000 euros in progress), and 20 vehicles will be sent to Morocco (sought funding).
Studies with Districts of the Municipality of Rabat for the replacement of gasoline by electric motorcycles motorcycles.
In the medium term the project is the establishment of a small production of light electric vehicles (bicycles, motorcycles, scooters, tricycles and solar cars) in collaboration with the Innovation Centre of the University of Settat."
Solar energy generation,Energy,Ministry of Economy,"December 24, 2015","December 24, 2015",proposal,Electricity,"1. Monocrystalline technology for efficient sun harvesting exceeding 150Wp per square meter

2. LCPV concept - Low prismatic concentration for optimal silicon cell’s area

3. Unobstructed translucent technology

4. Use micro inverter allow standardization of the product

5. The best price performance in the industry",Facility,Energy > Solar,Proven record of commercial use,Proven record of commercial use
Solar energy systems,Energy,Ministry of Economy,"December 21, 2015","December 21, 2015",proposal,,"1. Low price 

2. Twice the energy producing output compared to standard photo-voltaic panels 

3. High efficiency - 25% overall power plant efficiency as compared to 10%-12% of other systems based on silicon cells or thermo solar systems

4. Better performance in hot climates compared to silicon based systems

5. Ability to install Solar Plants on unleveled and rocky terrain (Maximum power per land area- 5MWp per 50 dunam (50,000sqm)

6. Enables dual use of the land for solar energy and agriculture",Facility,Energy > Solar,Proven record of commercial use,Proven record of commercial use
Solar energy-based water pumping and irrigation technology,Farming and Forestry,UNOSSC,"July 31, 2014","July 31, 2014",proposal,Water,"-Can be put into commercial production in developing countries.
-Simple training is sufficient. 
-High initial input cost but low subsequent use cost.",Device or equipment,"Energy > Solar
Farming & Forestry > Alternative irrigation",,
Solar power generation,Energy,Ministry of Economy,"December 02, 2015","December 02, 2015",proposal,Electricity,"The AORA system will use less land to generate considerably
more usable power and energy, and significantly more revenue at lower installed cost than any near-term solution to solar energy generation available in the world.","Device or equipment, Facility",Energy > Solar,Proven record of commercial use,Proven record of commercial use
Solar power plant,Energy,UNOSSC,"July 31, 2014","July 31, 2014",proposal,Oil,Alternative to use of diesel thermal power generators.,Facility,Energy > Solar,,
Solar powered water heating technology,Energy,The Innovation Hub Management Company,"April 02, 2015","April 02, 2015",proposal,Water,"The mirrors are a cost-effective alternative that improves the efficiency of heating by increasing the amount of radiation onto the piping and in turn increasing the amount of thermal energy contained in the piping. This solar heating system uses a reservoir with an inlet and outlet, the outlet having one nonreturn valve to prevent the mixing of cold and hot water which may be problematic in other solar heating systems.",Device or equipment,Energy > Solar,Under R & D,
Solar thermal power plants,Energy,Ministry of Economy,"December 10, 2015","December 10, 2015",proposal,Other,"This fully integrated energy system is designed to offer the highest operating efficiencies and lowest capital costs in the industry. Its low-impact design also ensures that the technology has a minimal impact on the natural environment. The result is a large-scale solar system that delivers clean, reliable energy at a cost competitive with fossil fuels.",Device or equipment,Energy > Solar,Proven record of commercial use,Proven record of commercial use
Solar thermal systems - Energy saving products,Energy,Ministry of Economy,"December 13, 2015","December 13, 2015",proposal,Electricity,"Elsol solar energy system’s water tanks are double tested during the production process to 14 bars, whereas the permitted working pressure is 8 bars. Our solar tanks with heat exchanger can be connected to a thermosyphon system thus reducing problems of scale build up and corrosion in the pipes. The system can be easily used in cold areas by adding Anti-freeze compounds to the close loop system. ",Device or equipment,Energy > Solar,Proven record of commercial use,Proven record of commercial use
Solar water heating systems,Energy,Ministry of Economy,"December 19, 2015","December 19, 2015",proposal,Electricity,"The technology caters to very high volume user industries, that will dramatically minimize the exploitation of polluting and prohibitively expensive fossil fuels.",Device or equipment,Energy > Other,Proven record of commercial use,Proven record of commercial use
Solar-Powered Refrigeration,Green Products,Purdue Research Foundation,"August 26, 2016","August 26, 2016",proposal,,Inexpensive materialsUses solar energy       ,,Green Products > Other,,
Solar-Powered Refrigeration System,Energy,Fuentek LLC,"November 17, 2013","December 21, 2015",proposal,,"1) Environmentally friendly: Harnesses the energy of the sun to reduce dependence on fossil fuels and eliminates the need for batteries that can be damaging to the Earth upon disposal


2) Longevity: Operates continuously for years as proven by prototype units tested at various locations around the world


3) Scalable: Suits applications in a wide range of sizes, from portable 50-liter coolers to building-size air-cooling systems ",,Energy > Solar,,
Solar-Thermal water heating,Energy,Ministry of Economy,"December 25, 2015","December 25, 2015",proposal,Electricity,"Retention of heat is achieved by our proprietary transparent insulation collector technology that allows solar radiation to enter the collector unhindered while suppressing convection and back radiation. In fact, the collector outperforms the best Flat Plate and Evacuated Tube collectors in
annual yield per gross unit area with the performance gap increasing with latitude.",Device or equipment,Energy > Solar,Proven record of commercial use,Proven record of commercial use
Solarstat: Incubator System to Study Shade-Limited Algal Cultures in Fluctuating Light,Energy,"University of California, San Diego (UC San Diego)","November 15, 2014","December 22, 2015",proposal,,Knowledge of light quantity in a deep water column.,,"Other Areas > Other Areas
Energy > Biomass/Bioenergy",,
Solbag Solar Back Pack,Pollution and Waste,Recnowa Initiative,"July 18, 2016","July 18, 2016",proposal,Electricity,"The Solbag solar backpack has the greatest potential of  not only addressing the challenges  faced by governments in Africa in addressing the challenges of plastic waste menace and its management but also addressing the energy needs of its citizens.
It provides renewable light for health care, education, and economic development. They also provide clean energy to charge a cell phone, enabling people to access information and SMS technology that are transforming banking, education and business in Africa.Other fashionable bags such as solar powered laptop bags are also designed for corporate clients and every day use purposes.","Process, Design",Pollution & Waste > Recycling & reuse,At usable level,"The Solbag solar backpack has a solar panel fitted on the back, with a storage battery that connects to an LED lamp, allowing even school children in places with no electricity the chance to study at night and not get exposed to the toxic fumes of kerosene. It's not just a bag that will charge up a cell phone. It is a bag that provides a light source for people who might not otherwise have access to lighting, let alone off-grid lighting."
Solid State Solar Cell that Overcomes Limitations of Grätzel Cell,Energy,Northwestern University,"November 24, 2015","December 21, 2015",proposal,,"• Lower production cost 


• High operating efficiency 


• Stable and longer durability 


• Compatible with automated manufacturing",,Energy > Solar,,
Solid Substrate Microbial Fuel Cells,Energy,Pennsylvania State University,"June 29, 2016","June 29, 2016",proposal,,"• Utilized in the production of electricity or hydrogen gas

• Utilizes solid biodegradable organic material in a package porous to bacteria

• Increases power output relative to previous sediment microbial fuel cells",,Energy > Fuel cells,,
Solid Thermoelectric Power Generator,Energy,Purdue Research Foundation,"May 29, 2017","May 29, 2017",proposal,,"1. Heat recovery

2. Energy efficient

3. Lower cost",,"Energy > Waste heat recovery
Energy > Energy efficiency",,
Solid waste treatment and recycling,Pollution and Waste,Ministry of Economy,"December 21, 2015","December 21, 2015",proposal,Other,"The plant uses all kinds of dry and grounded organic raw material and biomass, such as all kinds of vegetation residue (i.e from first generation biodiesel production, green houses, palms, olives etc.), animal manure, sewage sludge, etc.",Facility,Pollution & Waste > Waste treatment,Proven record of commercial use,Proven record of commercial use
Solid-Oxide Fuel Cell Anode With Greater Fuel Flexibility and More Efficient Power Generation,Energy,University of Florida,"November 21, 2013","December 21, 2015",proposal,,"1) Uses a thinner and more conductive electrolyte, increasing power density and efficiency


2) Combines this with liquid tin anode technology, allowing the solid oxide fuel cell to use a wide variety of fuels in gas, liquid or solid form",,Energy > Fuel cells,,
Solid-State Fermentation for Production of Succinic Acid from Renewable Biomass,Chemicals and Advanced Materials,National University of Singapore,"December 23, 2015","December 23, 2015",proposal,,"1) Highly concentrated succinic acid after fermentation (~80%) leads to simple and inexpensive purification.


2) >99% product purity can be obtained after purification.


3) Low cost and abundant raw sugarcane bagasse is used as a feed stock. Other renewable biomass can also be used.


4) Bacterial strain used is a wild type, which is easy to handle and culture for succinic acid production. Productivity is 0.46±0.03 g/h.",,Chemicals & Advanced Materials > Other,,
Solution Based Synthesis of Copper-Arsenic-Chalcogen Nanoparticles,Chemicals and Advanced Materials,Purdue Research Foundation,"June 29, 2016","June 29, 2016",proposal,,Ease of synthesisNew manufacturing opportunities   ,,Chemicals & Advanced Materials > Other,,
Solution Processed Fe2SiS4 and Fe2GeS4 Crystalline Films and Solar Cells Using These Films,Energy,University of Delaware,"December 07, 2013","December 21, 2015",proposal,,"1) Low  cost and abundance of materials


2) Ability  to create ultra-thin films


3) High  absorption properties


4) Small  band-gaps in conduction",,Energy > Solar,,
Solution growth of highly photoactive Cu20 films,Energy,Rutgers University,"December 03, 2015","December 03, 2015",proposal,,"Zinc oxide layer is deposited via MOCVD or spin coating, and the resulting Cu2O-ZnO heterojunction solar cells are characterized with transparent Au or gallium doped zinc oxide (GZO) top contacts.",,Energy > Solar,,
Solution-Deposition Of Cigs Solar Cell By Spray-Coating,Energy,"University of California, Los Angeles (UCLA)","September 01, 2014","December 21, 2015",proposal,,"1) Low-cost fabrication


2) Industrially scalable


3) High throughput",,Energy > Solar,,
Solution-processed metal nanowire mesh transparent electrode for large-area electronics,Energy,Stanford University,"November 27, 2013","December 21, 2015",proposal,,"1) Flexible material - nanowire mesh is not brittle and can be used on flexible substrates without cracking


2) High performance - more transparent for a given sheet resistance, which leads to better devices


3) Low cost process - solution casting and a moderate temperature (200oC) anneal


4) Gentle - this process causes less damage to underlying active organic layers compared to sputtering of ITO",,Energy > Other,,
"Solutions for energy optimization and monitoring, the first managing box Solar VRF air conditioning systems ( HVAC ), SMART GRID ready",Energy,SENR,"November 14, 2016","December 05, 2016",proposal,,"Steady Go gives back the handle of the consumption to the user preventing him from overcost du to operation not mastered in cooling or heating

The savings, depending on installation using PV or not, may reach 20 to 80% 

With such saving rates, the ROI, in territories with expensive kWh price, can be less then one year.

The storage of all running parameters and actions in diaries saved in the cloud may allow with subscription:

 Use this data to analyze the operating conditions of the AC system
  Production, consumption, using.

 The remote survey of the system with alarm signal sent authorized maintenance technician (SMS, Mail).

 The collection of data in order to invoiced the real consumption of each indoor units.","System or software, Device or equipment","Building & Construction > Buildings
Energy > Smart grid
Energy > Energy efficiency",Under R & D,"We already have pass through 4 real cases test installation. Now we need to finalize the R and D in order to industrialized our production.

The aim of our R and D is to finalize the communication procedure with all the devices connected, to set up the website.

Then we need to go through the industrialization of our box.

During this period we need to hire some employees in order to manage:
Automation
Webs site design and IT
Sales"
"Solutions for water storage, preservation and mobility",Water,Ministry of Economy,"December 13, 2015","December 13, 2015",proposal,Water,"The Emergency Water Storage and Distribution System (EWSDS) is the most advanced system for emergency water supply and the ultimate solution for local, state and federal authorities and organizations, for supplying the population with water in emergency and disaster situations.","Device or equipment, Facility",Water > Water storage,Proven record of commercial use,Proven record of commercial use
Solvent stabilization process and method of recovering solvent,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,Other,The invention enables to treat impure liquid product of the manufacturing process to recover the solvent. Thereby saving solvent resources and wasteage,Process,Pollution & Waste > Recycling & reuse,,
Solving Global Water Shortages,Water,NewSouth Innovations Pty Ltd,"November 25, 2015","November 25, 2015",proposal,,"The UNSW Ion Exchange solution is: 

-Energy Efficient

-Lower Cost Desalination

-Low pressure  requirements

-Low temperature requirements

-Can use solar thermal energy to regenerate the IEX resins.",,Water > Water storage,,
Songwe River Integrated Power Project on 3 dams (330 MW) - Mbeya Region,Energy,UNOSSC,"July 03, 2015","July 03, 2015",needed,,,,Energy > Hydro,,
Sorbent for Removal of Perfluorinated Compounds from Water,Water,University of Arizona,"November 25, 2015","November 25, 2015",proposal,,Effectively removes perfluorinated compounds from water.,,Water > Water treatment,,
Soy-Based 3D Printing Filament,Chemicals and Advanced Materials,Purdue Research Foundation,"September 06, 2016","September 06, 2016",proposal,,"Soy is renewable, recyclable, and costs less

Uses less energy

Flexibility allows for use in more products   ",,Chemicals & Advanced Materials > Other,,
Soybean Oil-Based UV-Curable Coatings with High Bio-renewable Content,Chemicals and Advanced Materials,NDSU Research Foundation,"November 25, 2015","November 25, 2015",proposal,,"1) Soy-based materials for coatings, adhesives, plasticizers, inks, and lubricants.

2) UV-curable with little shrinking during the curing process.

3) Excellent coatings for metal, wood, and plastic.

4) Superior anti-corrosion and anti-stain properties.

5) Improved mechanical properties, including hardness, adhesion, modulus, solvent resistance, impact resistance, glass transition, and crosslinking efficiency.",,Chemicals & Advanced Materials > Surface & finishing materials,,
Spatial Reuse Enabling Power Control MAC Protocol for Wireless Ad Hoc Networks,Energy,University of Cincinnati,"November 16, 2014","December 21, 2015",proposal,,RTS-CTS are usually transmitted at the maximum possible power level whereas DATA-ACK are transmitted either at the minimum required power to reach the destination or at periodically changing power levels.,,Energy > Energy efficiency,,
Spectroscopic Detection of Water Contaminants Using Glow Discharges from Liquid Microelectrodes,Pollution and Waste,Wisconsin Alumni Research Foundation (WARF),"November 25, 2015","November 25, 2015",proposal,,"1) Small and portable, allowing real-time, on-site analysis of trace contaminants in water2) Very inexpensive to manufacture compared to current large-scale plasma spectroscopy systems3) Allows maintenance of a continuous glow discharge in air at atmospheric pressure, eliminating the need for a vacuum system4) Electrodes are replenished by liquid flow, eliminating concern for electrode wear",,Pollution & Waste > Water,,
Spinel Catalysts for Water Oxidation/Water Splitting,Energy,Rutgers University,"March 10, 2017","March 10, 2017",proposal,,"1. Lower material cost than PGM catalysts

2. Lower operating cost than PGM alkaline electrodes

3. Oxidation of water in the presence of the developed catalysts could lead to production of large amounts of oxygen and hydrogen

4. As this process uses water as a source and sunlight as energy, it is inherently sustainable and globally scalable",,"Green Products > Products that avoid toxic or other emissions
Energy > Energy generation (Others)",,
Spinel Catalysts for Water and Hydrocarbon Oxidation,Energy,Rutgers University,"December 03, 2015","December 03, 2015",proposal,,"These materials could be used in commercial elecrolyzers, among other applications such as oxidation or functionalization of hydrocarbons.",,Energy > Fuel cells,,
Sponge for Continuous Oil-Water Separation,Pollution and Waste,Purdue Research Foundation,"March 03, 2017","March 03, 2017",proposal,,"1. Facile and inexpensive

2. Scalable",,"Pollution & Waste > Waste treatment
Pollution & Waste > Water",,
Spray - Spray formulation of endophytes for crop protection against herbivorous insects,Farming and Forestry,TechnologieAllianz e. V.,"April 02, 2015","April 02, 2015",proposal,Other,Reducation of herbivore plant damage and low environment impact.,Device or equipment,Farming & Forestry > Forest conservation,Under R & D,
Stabilization Of Chromophores On High Surface Area Metal Oxide Semiconductor Surfaces By Atomic Layer Deposition,Energy,North Carolina State University,"November 24, 2015","December 21, 2015",proposal,,"1) 10 fold increase in stability with ALD of Al2O3 on chromophore derivatized surfaces.


2) Increased performance over the lifetime of a solar cell. ",,Energy > Solar,,
Stable cycling of lithium sulfide cathodes through strong affinity with multifunctional binders,Energy,Stanford University,"November 17, 2014","December 21, 2015",proposal,,"1) Low cost


2) Simple fabrication


3) Scalable production 


4) Improved specific capacity and cycle life


5) Sulfur provides a 10x higher charge storage capacity",,Energy > Energy storage,,
Stacked Controlled-Cell Power Conversion Architecture for Grid-Connected Photovoltaic Systems,Energy,Massachusetts Institute of Technology (MIT),"November 16, 2014","December 21, 2015",proposal,,Adjustment of the string current such that there is just sufficient string current available for the cell with the highest MPP current.,,Energy > Solar,,
Stacked Optical Antenna with Interstitial Gap Layer,Energy,University of Rochester,"September 01, 2014","December 21, 2015",proposal,,"1) The optical antenna increases the absorption cross section, allowing the detector area to be reduced, which reduces dark current for a signal to noise ratio advantage.


2) Increased absorption cross section of light flux on material in the IGL, can be by a factor of 2500 or more, depending on wavelength


3) Selective absorption and emission with optical wavelength dependent on antenna length and shape


4) Broader absorption and emission possible with bow-tie antenna shapes


5) Directionality of detection and emission can be controlled by the antenna design


6) Increased electric field within the gap, due to small gap length


7) Gap thickness in IGL can be very small, down to a molecular monolayer


8) Very small IGL area, which enables low dark current in detectors


9) Very small IGL area, which enables single photon source


10) Very small IGL thickness, which enables use of non-transparent non-linear materials",,Energy > Other,,
Standalone Solar Power Systems,Energy,Ministry of Economy,"December 02, 2015","December 02, 2015",proposal,Electricity,Solar Powered Generator for supply constant and reliable energy for rural areas as an alternative to the diesel generator.,"Design, Process, Device or equipment","Energy > Solar
Energy > Energy generation (Others)",Proven record of commercial use,Proven record of commercial use
Static Fractionation of Corn Kernels,Green Products,Purdue Research Foundation,"June 29, 2016","June 29, 2016",proposal,,"Benefits:

1. Provides corn biorefineries with alternative revenue source

2. Little impact on food production

3. Renewable source for chemical production",,"Farming & Forestry > Farming techniques
Energy > Biomass/Bioenergy
Green Products > Bio based products",,
Stoichiometric Direct-Injection Compression-Ignition Engine,Transportation,Stanford University,"November 25, 2015","December 22, 2015",proposal,,"1) Much cheaper emissions control system than a conventional Diesel engine (about $1K as opposed to $15K).


2) 30% higher power and torque output, due to the higher fuel loading. This is especially significant since some trucks are currently being retrofitted with port-injected natural gas engines, which actually have a lower power output than current engines.


3) Can utilize a wide range of low sooting, alternative fuels such as alcohols and natural gas, in a way that is suitable for heavy-duty operation.


4) More efficient than current engines due to reduced heat transfer losses.",,"Energy > Energy efficiency
Transportation > Electric/ Hybrid vehicles",,
Storage Leak Detection System For Petroleum Products,Pollution and Waste,"University of California, Santa Barbara (UC Santa Barbara)","November 30, 2015","November 30, 2015",proposal,,"1) Continuous real-time detection and notification of petroleum tank release.


2) An inexpensive system that can be readily adaptable to currently available double-walled tanks and is upgradeable after deployment to improve sensitivity.


3) An optical system that is not triggered by aqueous condensation, which reduces the potential for false alarms.",,Pollution & Waste > Other,,
Storage and supply of electrical energy,Energy,Ministry of Economy,"December 29, 2015","December 29, 2015",proposal,Electricity,Delivery of electric energy and power to meet the growing demands of the automotive markets,Device or equipment,Energy > Energy storage,Proven record of commercial use,Proven record of commercial use
"Storage of Hydrogen, Methane and Freons by Van der Waals Confinement",Energy,University of Missouri Columbia,"November 30, 2015","November 30, 2015",proposal,,"1) Lightweight material


2) High temperature stability of calixarene-based host assembly allowing for storage of volatile fuels at room temperature.",,Energy > Energy storage,,
Straw feedstuff - use of advanced cold forming technology,Energy,UNOSSC,"July 31, 2014","July 31, 2014",proposal,Electricity,High grade fuel gas.,System or software,Energy > Biomass/Bioenergy,,
Stretched Recast Nafion for PEM Fuel Cells,Energy,Case Western Reserve University,"November 16, 2014","December 21, 2015",proposal,,Improvement of the resistance to permeability of methanol in DMFC (Direct Methanol Fuel Cell) operation.,,Energy > Fuel cells,,
Strongly Anchored Nanostructures that Provide Ultra-high Surface Interaction without Environmental Leakage,Chemicals and Advanced Materials,Wright State University,"November 25, 2015","November 25, 2015",proposal,,"1) Addresses leaching deficiencies found with other nanostructure designs  

2) Increases surface area by orders of magnitude within a given space",,"Chemicals & Advanced Materials > Insulation
Chemicals & Advanced Materials > Surface & finishing materials",,
Structural Pavement and Railroad Roadbed Solution,Transportation,Ministry of Economy,"December 23, 2015","December 23, 2015",proposal,,"1) Reduce the initial capital cost of road, port, and railroad projects

2) Allow for project design life of above 75 years; reduce maintenance; increase the durability and longevity of road projects

3) Allow use of locally available materials including recycled asphalt, recycled concrete, granular type industrial waste

4) Allow for the development of marginal lands",Device or equipment,Transportation > Road,Proven record of commercial use,Proven record of commercial use
Structural Supercapacitors,Energy,Northern Arizona University,"November 16, 2014","December 21, 2015",proposal,,"1) Added power storage capability by utilizing structural material for power storage


2) No compromise to strength and durability of the structural material


3) Reduced or non-existent battery weight


4) Molded material can be structured into virtually any required shape


5) Multifunctional material reduces the number of required components",,Energy > Energy storage,,
Struvite prevention by use of calcium silicate hydrate at wastewater treatment plants,Farming and Forestry,TechnologieAllianz e. V.,"April 02, 2015","April 02, 2015",proposal,Water,Prevents struvite deposition at wastewater treatment plants with biological phosphorus removal,Process,Farming & Forestry > Alternative irrigation,At usable level,
Sub-Micron Electrolyte Thin Film for Solid Oxide Fuel Cells,Energy,Stanford University,"November 16, 2014","December 21, 2015",proposal,,"1) High efficiency : low ionic resistance material from metal-oxidized electrolyte and nano-porous gamma-alumina substrate, no gas crossover


2) Simple and clean fabrication - DC-magnetron sputtering in Ar gas


3) Lower cost of sputtering target materials


4) Lower temperature fuel cell operation",,Energy > Fuel cells,,
Substituted bistetracenes and electronic devices made with substituted bistetracene,Energy,University of Massachusetts Amherst,"June 29, 2016","June 29, 2016",proposal,,"Advantages:

1. Air stable, have low energy band gaps",,Energy > Solar,,
Subwavelength Nanolens Arrays as Optical Concentrators in Nanowire Photovoltaics,Energy,"University of California, Los Angeles (UCLA)","November 24, 2015","December 21, 2015",proposal,,"1) Individual nanodomes are self-aligned to the nanowire, obviating the need for dedicated patterning techniques


2) Standard sputtering techniques can be used to naturally constitute convex transparent conducting oxides on top of nanowire photovoltaics


3) Optical features can be readily tuned during the sputtering deposition


4) Optoelectronic functionality can be applied to any nanostructure array to enhance photodetectivity response or photo-to-electron conversion",,Energy > Solar,,
Sulfonated Carbonaceous Catalyst for Biomass Chemical Production,Energy,Purdue Research Foundation,"November 24, 2015","December 21, 2015",proposal,,"1) Effective FF and 5-HMF production 


2) Improved 5-HMF yields and selectivity 


3) Low separation cost of the catalyst materials",,Energy > Biomass/Bioenergy,,
